,Wallet,NumberOfTokensAdopted,EarlyCount,LaggardCount,EarlyPercentage,LaggardPercentage,Whale,Non-WhaleEarlyAdopters,Non-WhaleLaggardAdopters,NumberOfWhalesInteractedWith
168,0x000000000000000000000000d2f440d8884a7571ebd36f34415c95189b7e4de8,11,4,7,36.36363636363637,63.63636363636363,False,False,True,10.0
169,0x000000000000000000000000f0dbd1aa05c17226569a7ad76a3efe6fe8ceb2d9,6,2,4,33.333333333333336,66.66666666666667,False,False,True,4.0
170,0x00000000000000000000000041878de54c42b26adbd59cd8d498de1068973d2a,8,1,7,12.5,87.5,False,False,True,4.0
171,0x000000000000000000000000ad0fb612d7975a440831c3e9448d3ac3977f4620,11,2,9,18.181818181818183,81.81818181818181,False,False,True,11.0
172,0x000000000000000000000000403af46fe12d1ec21ad1fe85c988e2b78075d885,18,5,13,27.77777777777778,72.22222222222223,True,False,False,22.0
173,0x0000000000000000000000002d155d269c8ddd355e75c2dca2b85351a308e203,7,3,4,42.85714285714285,57.142857142857146,False,False,True,7.0
174,0x000000000000000000000000a301b68b6a3705ce616599602dc0065c94c9f383,10,2,8,20.0,80.0,False,False,True,8.0
175,0x000000000000000000000000982d2fd7f84f4a3ea2220ed07ba41a029ede838d,7,1,6,14.285714285714286,85.71428571428571,False,False,True,0.0
176,0x000000000000000000000000fee8d8932575ed4de8a62262ebe5e089638a63a7,19,2,17,10.526315789473683,89.47368421052632,False,False,True,18.0
177,0x000000000000000000000000093e98edb079f875f5099c8a28191d3bbe736910,49,12,37,24.489795918367346,75.51020408163265,False,False,True,29.0
178,0x0000000000000000000000000b00512723fe444fa87f6f4593fe6509defa47f3,30,8,22,26.666666666666668,73.33333333333333,False,False,True,18.0
179,0x000000000000000000000000300053adbb0c442ba591fa2d4f95390d2aa8d8fa,35,8,27,22.857142857142858,77.14285714285714,False,False,True,22.0
180,0x000000000000000000000000e1ad11fd19c9aa2424f3638b258576b884bb9938,8,1,7,12.5,87.5,False,False,True,7.0
181,0x0000000000000000000000000bd4a90f7e9886b67d9c51b2544314f56a046093,30,6,24,20.0,80.0,False,False,True,19.0
182,0x000000000000000000000000b670e7fb0da77d34fdf4c15f052180050a5f9ff3,35,6,29,17.142857142857142,82.85714285714286,False,False,True,15.0
183,0x000000000000000000000000a0ee473e0f1ad6a94ca0080503310e050c173a4d,9,2,7,22.22222222222222,77.77777777777777,False,False,True,7.0
184,0x0000000000000000000000005ea0f303e230df9f23dfdc0c350dd743b1f97d03,42,10,32,23.80952380952381,76.19047619047619,False,False,True,31.0
185,0x00000000000000000000000033147df9a1180c7efd240e3f34c778c50314b24d,6,2,4,33.333333333333336,66.66666666666667,False,False,True,6.0
186,0x000000000000000000000000f41f0d91b6c49abe748fa75ee22a232750b778a7,38,10,28,26.31578947368421,73.6842105263158,False,False,True,11.0
187,0x0000000000000000000000008f08ee5e3e44bdc28127e050fcb13f5e4671433d,75,13,62,17.333333333333332,82.66666666666667,False,False,True,35.0
188,0x0000000000000000000000003fe2c7a6b0b19d5cf0056354efbff65a40b18a84,68,16,52,23.529411764705884,76.47058823529412,True,False,False,66.0
189,0x000000000000000000000000da93c8286c47990e922406016f7eeddbe41d9702,28,7,21,25.0,75.0,True,False,False,103.0
190,0x000000000000000000000000e213a91e534ca1e8262b84da97f8f4b22b0e7351,5,3,2,60.0,40.0,False,False,False,2.0
191,0x0000000000000000000000000e4b909c1c96bc620e896be16b35c4e2f2b978a3,13,4,9,30.76923076923077,69.23076923076923,False,False,True,6.0
192,0x0000000000000000000000003013684d0eb5944f4d6c05151c1ac74371701264,66,9,57,13.636363636363637,86.36363636363636,True,False,False,31.0
193,0x00000000000000000000000024f403a986b1d1e99b5d0ce83bcfbf0b8226a2de,28,12,16,42.85714285714285,57.142857142857146,False,False,True,6.0
